"101,101,47,47"
"101,101,48,48"
"101,101,87,87"
"75,75,67,67"
"74,74,67,67"
"63,63,44,44"
"73,73,64,64"
"183,183,50,50"
"183,183,88,88"
"183,183,64,64"
"62,62,54,54"
"105,105,48,48"
"105,105,85,85"
"144,144,78,78"
"144,144,122,122"
"58,58,43,43"
"69,69,54,54"
"185,185,137,137"
"185,185,91,91"
"126,126,52,52"
"126,126,93,93"
"81,81,72,72"
"58,58,45,45"
"78,78,58,58"
"85,85,75,75"
"102,102,46,46"
"102,102,81,81"
"41,41,29,29"
"79,79,55,55"
"117,117,42,42"
"117,117,44,44"
"117,117,71,71"
"69,69,49,49"
"117,117,48,48"
"117,117,88,88"
"73,73,42,42"
"69,69,40,40"
"62,62,46,46"
"97,97,51,51"
"97,97,67,67"
"111,111,67,67"
"111,111,52,52"
"61,61,28,28"
"61,61,55,55"
"58,58,48,48"
"105,105,68,68"
"58,58,50,50"
"89,89,63,63"
"76,76,50,50"
"85,85,57,57"
"118,118,96,96"
"118,118,58,58"
"122,122,55,55"
"122,122,101,101"
"66,66,50,50"
"52,52,42,42"
"51,51,41,41"
"94,94,56,56"
"141,141,101,101"
"141,141,57,57"
"141,141,62,62"
"76,76,56,56"
"89,89,59,59"
"53,53,29,29"
"133,133,77,77"
"133,133,59,59"
"121,121,89,89"
"121,121,83,83"
"121,121,60,60"
"121,121,50,50"
"80,80,49,49"
"80,80,64,64"
"96,96,66,66"
"139,139,108,108"
"139,139,60,60"
"139,139,56,56"
"97,97,24,24"
"174,174,95,95"
"174,174,58,58"
"174,174,52,52"
"174,174,57,57"
"69,69,52,52"
"145,145,54,54"
"145,145,87,87"
"145,145,54,54"
"92,92,62,62"
"90,90,58,58"
"126,126,83,83"
"60,60,50,50"
"51,51,37,37"
"116,116,28,28"
"116,116,59,59"
"116,116,100,100"
"69,69,59,59"
"111,111,93,93"
"111,111,63,63"
"69,69,56,56"
"59,59,52,52"
"151,151,73,73"
"151,151,60,60"
"53,53,41,41"
"83,83,58,58"
"156,156,127,127"
"156,156,67,67"
"116,116,61,61"
"123,123,106,106"
"53,53,39,39"
"81,81,65,65"
"102,102,66,66"
"162,162,131,131"
"162,162,69,69"
"130,130,104,104"
"53,53,38,38"
"116,116,68,68"
"146,146,83,83"
"125,125,104,104"
"125,125,66,66"
"65,65,54,54"
"77,77,31,31"
"63,63,54,54"
"119,119,74,74"
"126,126,113,113"
"126,126,66,66"
"165,165,72,72"
"165,165,133,133"
"88,88,71,71"
"142,142,83,83"
"53,53,49,49"
"165,165,74,74"
"165,165,137,137"
"133,133,75,75"
"116,116,105,105"
"69,69,56,56"
"79,79,30,30"
"79,79,67,67"
"69,69,37,37"
"69,69,58,58"
"101,101,70,70"
"116,116,71,71"
"146,146,49,49"
"146,146,77,77"
"146,146,117,117"
"68,68,33,33"
"68,68,37,37"
"119,119,27,27"
"196,196,132,132"
"85,85,68,68"
"80,80,72,72"
"179,179,81,81"
"80,80,66,66"
"88,88,58,58"
"130,130,84,84"
"187,187,102,102"
"187,187,61,61"
"83,83,30,30"
"83,83,74,74"
"69,69,36,36"
"69,69,61,61"
